,,,,,,,,,,
Theme: Industry,,,,,,,,,,
Subject: Transport,,,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,,,
"Table Title: New Registration Of Motor Vehicles Under Vehicle Quota System , Monthly",,,,,,,,,,
,,,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,,,
,,,,,,,,,,
Data Series,Total New Motor Vehicles Registered (Number),Total New Motor Vehicles Registered -> Category A: Cars (Number),Total New Motor Vehicles Registered -> Category B: Cars (Number),Total New Motor Vehicles Registered -> Weekend Cars/Off Peak Cars (Number),Total New Motor Vehicles Registered -> Category C: Goods Vehicles & Buses (Number),Total New Motor Vehicles Registered -> Category C: Goods Vehicles & Buses -> Category C: Goods Vehicles & Buses Not Under ETS (Number),Total New Motor Vehicles Registered -> Category C: Goods Vehicles & Buses -> Category C: Goods Vehicles & Buses Under ETS (Number),Total New Motor Vehicles Registered -> Category D: Motorcycles & Scooters (Number),Total New Motor Vehicles Registered -> Taxis (Number),Total New Motor Vehicles Registered -> Vehicles Exempted From VQS (Number)
"Prior to Aug 2012, taxi operators can bid for a new Certificate of Entitlement (COE) or pay Prevailing Quota Premium (PQP) to register a taxi under Category A.  The latter is only in the case of a new taxi that replaces a deregistered one within 6 months.  From Aug 2012, all taxis pay for COEs based on the PQP of Category A.",,,,,,,,,,
Total New Motor Vehicles Registered -> Vehicles Exempted From VQS (Number):,,,,,,,,,,
"Includes vehicles which are exempted from the Vehicle Quota System (VQS), for example, scheduled and school buses, emergency vehicles, diplomatic vehicles, vehicles under the Disabled Person Scheme and vehicles for off-the-road use.",,,,,,,,,,
,,,,,,,,,,
Notation:,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,
Notes,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,
,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,
Date generated: 26/02/2026,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,
