,,
Theme: Industry,,
Subject: Transport,,
Topic: Land Transport (including MRT and LRT),,
"Table Title: Motor Vehicles De-Registered Under Vehicle Quota System, Monthly",,
,,
Data last updated: 27/02/2026,,
Source: LAND TRANSPORT AUTHORITY,,
,,
Data Series,Total Motor Vehicles De-Registered (Number),Total Motor Vehicles De-Registered -> Category A: Cars (Number)
  2011 Jan,2923,707
  2010 Dec,2858,828
  2010 Nov,2929,829
  2010 Oct,2992,873
  2010 Sep,2913,834
  2010 Aug,3217,916
  2010 Jul,3806,1068
  2010 Jun,3596,1131
  2010 May,3175,1006
  2010 Apr,3195,908
  2010 Mar,4357,1595
  2010 Feb,3400,1337
  2010 Jan,4269,1743
  2009 Dec,3969,1480
  2009 Nov,3612,1348
  2009 Oct,3832,1494
  2009 Sep,3900,1492
  2009 Aug,4197,1624
  2009 Jul,4837,2012
  2009 Jun,5131,2252
  2009 May,5012,2268
  2009 Apr,5200,2487
  2009 Mar,6977,3241
  2009 Feb,5791,2983
  2009 Jan,5644,2779
  2008 Dec,6825,3303
  2008 Nov,6305,3172
  2008 Oct,6338,3085
  2008 Sep,6797,3299
  2008 Aug,5947,2825
  2008 Jul,6771,3269
  2008 Jun,6559,3230
  2008 May,6190,3103
  2008 Apr,6980,3498
  2008 Mar,6848,3486
  2008 Feb,5282,2549
  2008 Jan,7078,3288
  2007 Dec,5706,2805
  2007 Nov,5143,2473
  2007 Oct,6542,3135
  2007 Sep,5877,2750
  2007 Aug,6092,2852
  2007 Jul,6336,3110
  2007 Jun,6736,3318
  2007 May,7584,3605
  2007 Apr,7882,3798
  2007 Mar,8660,4235
  2007 Feb,6725,3495
  2007 Jan,8272,4319
  2006 Dec,7617,4027
  2006 Nov,8229,4323
  2006 Oct,7604,3835
  2006 Sep,7785,3571
  2006 Aug,8631,4719
  2006 Jul,9166,4873
  2006 Jun,8251,4434
  2006 May,8957,4610
  2006 Apr,9775,4660
  2006 Mar,11503,5974
  2006 Feb,8390,4329
  2006 Jan,8901,4755
  2005 Dec,9487,4782
  2005 Nov,9461,4791
  2005 Oct,9799,4779
  2005 Sep,8788,4588
  2005 Aug,9138,4499
  2005 Jul,10827,4983
  2005 Jun,9766,4853
  2005 May,9581,4783
  2005 Apr,10582,5317
  2005 Mar,12136,6559
  2005 Feb,7661,4001
  2005 Jan,10235,5282
  2004 Dec,9772,5123
  2004 Nov,9330,4970
  2004 Oct,10062,4866
  2004 Sep,9086,4380
  2004 Aug,8916,4232
  2004 Jul,9359,4554
  2004 Jun,9194,4717
  2004 May,9555,4888
  2004 Apr,9571,4992
  2004 Mar,11658,6340
  2004 Feb,9765,5487
  2004 Jan,8602,4536
  2003 Dec,9834,5059
  2003 Nov,8738,4830
  2003 Oct,9211,4964
  2003 Sep,9238,4873
  2003 Aug,8346,4179
  2003 Jul,9900,5194
  2003 Jun,8924,4508
  2003 May,9712,4994
  2003 Apr,9490,4714
  2003 Mar,9829,5105
  2003 Feb,7403,3929
  2003 Jan,9085,4490
  2002 Dec,7786,4050
  2002 Nov,7431,3545
  2002 Oct,7465,3483
  2002 Sep,7658,3368
  2002 Aug,7865,3543
  2002 Jul,8722,3785
  2002 Jun,7320,3039
  2002 May,7181,3103
  2002 Apr,9542,3883
  2002 Mar,10858,5038
  2002 Feb,6453,2998
  2002 Jan,8185,3123
  2001 Dec,7893,3616
  2001 Nov,8238,4076
  2001 Oct,10555,5604
  2001 Sep,6458,2533
  2001 Aug,6878,2217
  2001 Jul,6198,2060
  2001 Jun,5865,1858
  2001 May,7214,3145
  2001 Apr,6902,3337
  2001 Mar,6711,2654
  2001 Feb,5575,2184
  2001 Jan,5049,2151
  2000 Dec,4746,1968
  2000 Nov,4556,1701
  2000 Oct,4106,1469
  2000 Sep,6464,1393
  2000 Aug,5977,3039
  2000 Jul,21295,11851
  2000 Jun,17640,4123
  2000 May,6707,2059
  2000 Apr,6111,1997
  2000 Mar,6005,2223
  2000 Feb,4666,1954
  2000 Jan,5076,1881
  1999 Dec,5261,2229
  1999 Nov,4686,1975
  1999 Oct,5083,2044
  1999 Sep,4597,1989
  1999 Aug,4709,1890
  1999 Jul,4636,1563
  1999 Jun,3890,1254
  1999 May,4097,1227
  1999 Apr,4286,1583
  1999 Mar,5531,2387
  1999 Feb,4116,2045
  1999 Jan,5005,2244
  1998 Dec,5553,2479
  1998 Nov,4958,2099
  1998 Oct,5390,2245
  1998 Sep,4899,2189
  1998 Aug,4711,2112
  1998 Jul,4983,2179
  1998 Jun,4446,1722
  1998 May,4184,1727
  1998 Apr,4587,1816
  1998 Mar,4010,1391
  1998 Feb,3060,1213
  1998 Jan,3434,1375
  1997 Dec,3616,1323
  1997 Nov,2962,1138
  1997 Oct,2758,991
  1997 Sep,3036,920
  1997 Aug,2717,838
  1997 Jul,3066,924
  1997 Jun,2668,747
  1997 May,2677,771
  1997 Apr,2670,727
  1997 Mar,2766,807
  1997 Feb,1719,485
  1997 Jan,2151,574
  1996 Dec,2475,728
  1996 Nov,1966,584
  1996 Oct,2061,538
  1996 Sep,2010,550
  1996 Aug,1522,471
  1996 Jul,1932,483
  1996 Jun,1869,474
  1996 May,1791,508
  1996 Apr,1832,446
  1996 Mar,2082,513
  1996 Feb,1447,443
  1996 Jan,1998,705
  1995 Dec,2107,766
  1995 Nov,1764,628
  1995 Oct,1813,579
  1995 Sep,1813,673
  1995 Aug,1345,544
  1995 Jul,1886,799
  1995 Jun,1867,791
  1995 May,1811,709
  1995 Apr,2042,867
  1995 Mar,2136,904
  1995 Feb,1971,992
  1995 Jan,2516,1236
  1994 Dec,2475,1244
  1994 Nov,2275,1076
  1994 Oct,2156,1047
  1994 Sep,2327,1199
  1994 Aug,2273,1205
  1994 Jul,2284,1080
  1994 Jun,2482,1376
  1994 May,2454,1356
  1994 Apr,2282,1198
  1994 Mar,2701,1452
  1994 Feb,2105,977
  1994 Jan,1766,750
  1993 Dec,2974,1449
  1993 Nov,2478,1205
  1993 Oct,2516,1142
  1993 Sep,2497,1345
  1993 Aug,2285,1260
  1993 Jul,2854,1576
  1993 Jun,3028,1653
  1993 May,2782,1663
  1993 Apr,2934,1668
  1993 Mar,3123,1902
  1993 Feb,2853,1802
  1993 Jan,2050,1172
  1992 Dec,2811,1665
  1992 Nov,2867,1549
  1992 Oct,2275,1261
  1992 Sep,2301,1293
  1992 Aug,2345,1380
  1992 Jul,2482,1534
  1992 Jun,2209,1265
  1992 May,6049,2729
  1992 Apr,16545,6668
  1992 Mar,4511,1939
  1992 Feb,3022,1323
  1992 Jan,3234,1431
  1991 Dec,2837,1380
  1991 Nov,2689,1108
  1991 Oct,3393,1546
  1991 Sep,2620,1178
  1991 Aug,2424,858
  1991 Jul,3026,1262
  1991 Jun,2623,1054
  1991 May,2597,1050
  1991 Apr,2737,1121
  1991 Mar,2898,1428
  1991 Feb,2080,935
  1991 Jan,2803,1550
  1990 Dec,2994,1599
  1990 Nov,3198,1822
  1990 Oct,2687,1139
  1990 Sep,2253,898
  1990 Aug,2571,1034
  1990 Jul,2286,944
  1990 Jun,2345,1044
  1990 May,2621,1308
,,
Definitions and Footnotes:,,
Figures include weekend/off-peak cars & tax exempted vehicles,,
Total Motor Vehicles De-Registered -> Category A: Cars (Number):,,
"For cars registered with Certificates of Entitlement (COEs) obtained before Feb 2014 bidding exercises, Category A cars refer to cars with engine capacity up to 1600cc and Category B cars refer to cars with engine capacity above 1,600cc.  For cars registered with COEs obtained from Feb 2014 1st bidding exercise onwards but before the May 2022 1st bidding exercise, Category A cars refer to cars with engine capacity up to 1600cc and Maximum Power Output up to 97kW (130bhp) and Category B cars refer to cars with engine capacity above 1600cc or Maximum Power Output above 97kW (130bhp).  For cars registered with COEs obtained from the May 2022 1st bidding exercise onwards, Category A cars refer to cars, except fully electric cars, with engine capacity up to 1600cc and Maximum Power Output up to 97kW (130bhp); and fully electric cars with Maximum Power Output up to 110kW (147bhp) and Category B cars refer to cars, except fully electric cars, with engine capacity above 1600cc or Maximum Power Output above 97kW (130bhp); and fully electric cars with Maximum Power Output above 110kW (147bhp).",,
,,
Notation:,,
na   not available or not applicable,,
nec  not elsewhere classified,,
nes  not elsewhere specified,,
 -     nil or negligible or not significant,,
Notes,,
Numbers may not add up to the totals due to rounding.,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,
Values are shown in Singapore dollars (unless otherwise specified).,,
,,
Generated by: SingStat Table Builder,,
Date generated: 05/03/2026,,
Contact: info@singstat.gov.sg,,
