,,,,,,,,
Theme: Industry,,,,,,,,
Subject: Transport,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,
"Table Title: Motor Vehicle Population Under Vehicle Quota System, (As At End Of Period), Monthly",,,,,,,,
,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,
,,,,,,,,
Data Series,Total Motor Vehicles (Number),Total Motor Vehicles -> Category A: Cars (Number),Total Motor Vehicles -> Category B: Cars (Number),Total Motor Vehicles -> Weekend Cars/Off Peak Cars (Number),Total Motor Vehicles -> Category C: Goods Vehicles & Buses (Number),Total Motor Vehicles -> Category D: Motorcycles & Scooters (Number),Total Motor Vehicles -> Taxis (Number),Total Motor Vehicles -> Vehicles Exempted From VQS (Number)
  1993 Sep,578835,225981,66614,10018,129451,118392,13643,14736
  1993 Aug,576582,225366,65945,9786,129219,117993,13617,14656
  1993 Jul,573890,224580,65247,9560,128738,117682,13555,14528
  1993 Jun,571361,223754,64440,9307,128284,117482,13618,14476
  1993 May,569061,223059,63679,9080,128067,117190,13563,14423
  1993 Apr,567295,222776,62972,8800,127953,116942,13528,14324
  1993 Mar,565583,222655,62222,8634,127578,116649,13543,14302
  1993 Feb,563054,221868,61698,8377,127055,116289,13507,14260
  1993 Jan,561555,221795,61266,8184,126599,116002,13498,14211
  1992 Dec,557584,219973,60245,7925,126109,115719,13445,14168
  1992 Nov,556028,219520,59697,7667,124995,115172,13412,15565
  1992 Oct,555357,219604,59326,7445,124816,115066,13234,15866
  1992 Sep,554205,219547,58856,7235,124601,114861,13252,15853
  1992 Aug,552469,219272,58275,6983,124347,114601,13201,15790
  1992 Jul,550886,219073,57843,6744,123981,114226,13258,15761
  1992 Jun,549435,219148,57404,6519,123578,113864,13205,15717
  1992 May,546988,218707,56530,6236,123176,113621,13069,15649
  1992 Apr,548933,219697,56480,6051,123292,114773,13067,15573
  1992 Mar,561423,224993,57192,5973,125267,119567,12926,15505
  1992 Feb,561210,225558,56849,5626,124901,120063,12867,15346
  1992 Jan,561044,225616,56582,5293,124777,120648,12847,15281
  1991 Dec,559304,225091,55739,4889,124432,121256,12705,15192
  1991 Nov,558316,225021,55455,4599,123719,121621,12563,15338
  1991 Oct,556850,224285,54860,4177,123548,122124,12582,15274
  1991 Sep,555908,223836,54438,3591,123509,122714,12661,15159
  1991 Aug,554619,223935,54108,3113,123483,122271,12672,15037
  1991 Jul,553158,223378,53822,2490,123284,122656,12609,14919
  1991 Jun,552149,223274,53726,1846,123127,122842,12499,14835
  1991 May,550524,223516,53771,716,122826,122572,12389,14734
  1991 Apr,549188,223228,53643,na,122553,122611,12463,14690
  1991 Mar,547286,222396,53184,na,122050,122550,12399,14707
  1991 Feb,545775,221985,52937,na,121515,122304,12392,14642
  1991 Jan,543698,221243,52318,na,121184,121982,12345,14626
  1990 Dec,542352,221211,51916,na,120978,121448,12239,14560
  1990 Nov,540398,220679,51279,na,120476,121222,12210,14532
  1990 Oct,539952,221129,51131,na,120104,120897,12301,14390
  1990 Sep,537274,220462,50309,na,119345,120724,12079,14355
  1990 Aug,535747,220101,49999,na,118941,120541,11807,14358
  1990 Jul,534210,219774,49640,na,118478,120507,11576,14235
  1990 Jun,533676,219746,49431,na,118505,120433,11328,14233
  1990 May,532305,219348,49128,na,118289,120231,11070,14239
,,,,,,,,
Definitions and Footnotes:,,,,,,,,
Figures include weekend/off-peak cars & tax exempted vehicles,,,,,,,,
Total Motor Vehicles -> Category A: Cars (Number):,,,,,,,,
"For cars registered with Certificates of Entitlement (COEs) obtained before Feb 2014 bidding exercises, Category A cars refer to cars with engine capacity up to 1600cc and Category B cars refer to cars with engine capacity above 1,600cc.  For cars registered with COEs obtained from Feb 2014 1st bidding exercise onwards but before the May 2022 1st bidding exercise, Category A cars refer to cars with engine capacity up to 1600cc and Maximum Power Output up to 97kW (130bhp) and Category B cars refer to cars with engine capacity above 1600cc or Maximum Power Output above 97kW (130bhp).  For cars registered with COEs obtained from the May 2022 1st bidding exercise onwards, Category A cars refer to cars, except fully electric cars, with engine capacity up to 1600cc and Maximum Power Output up to 97kW (130bhp); and fully electric cars with Maximum Power Output up to 110kW (147bhp) and Category B cars refer to cars, except fully electric cars, with engine capacity above 1600cc or Maximum Power Output above 97kW (130bhp); and fully electric cars with Maximum Power Output above 110kW (147bhp).",,,,,,,,
Total Motor Vehicles -> Category B: Cars (Number):,,,,,,,,
"For cars registered with Certificates of Entitlement (COEs) obtained before Feb 2014 bidding exercises, Category A cars refer to cars with engine capacity up to 1600cc and Category B cars refer to cars with engine capacity above 1,600cc.  For cars registered with COEs obtained from Feb 2014 1st bidding exercise onwards but before the May 2022 1st bidding exercise, Category A cars refer to cars with engine capacity up to 1600cc and Maximum Power Output up to 97kW (130bhp) and Category B cars refer to cars with engine capacity above 1600cc or Maximum Power Output above 97kW (130bhp).  For cars registered with COEs obtained from the May 2022 1st bidding exercise onwards, Category A cars refer to cars, except fully electric cars, with engine capacity up to 1600cc and Maximum Power Output up to 97kW (130bhp); and fully electric cars with Maximum Power Output up to 110kW (147bhp) and Category B cars refer to cars, except fully electric cars, with engine capacity above 1600cc or Maximum Power Output above 97kW (130bhp); and fully electric cars with Maximum Power Output above 110kW (147bhp).",,,,,,,,
Total Motor Vehicles -> Taxis (Number):,,,,,,,,
"Prior to Aug 2012, taxi operators can bid for a new Certificate of Entitlement (COE) or pay Prevailing Quota Premium (PQP) to register a taxi under Category A.  The latter is only in the case of a new taxi that replaces a deregistered one within 6 months.  From Aug 2012, all taxis pay for COEs based on the PQP of Category A.",,,,,,,,
Total Motor Vehicles -> Vehicles Exempted From VQS (Number):,,,,,,,,
"Includes vehicles which are exempted from the Vehicle Quota System (VQS), for example, scheduled and school buses, emergency vehicles, diplomatic vehicles, vehicles under the Disabled Person Scheme and vehicles for off-the-road use.",,,,,,,,
,,,,,,,,
Notation:,,,,,,,,
na   not available or not applicable,,,,,,,,
nec  not elsewhere classified,,,,,,,,
nes  not elsewhere specified,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,
Notes,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,
,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,
Date generated: 26/02/2026,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,
